remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
505	155	1478.67	2765.43	0.134094	9.06298	
555	155	1403.38	2925.08	0.116042	7.91423	
605	155	1579.98	3083.98	0.126698	8.67373	
655	155	1617.48	3201.09	0.124386	9.09795	
705	155	1674.35	3322.32	0.123952	7.88458	
755	155	1840.14	3465.68	0.132855	8.53498	
805	155	1240.02	2366.31	0.130562	8.46694	
855	155	1592.6	3151.16	0.124422	7.90701	
905	155	803.973	1114.22	0.197452	9.6229	
955	155	1870.71	3014	0.162945	13.4546	
1005	155	1200.13	2095.44	0.14678	12.6263	
1055	155	1236.09	1993.51	0.162737	10.7648	
1105	155	2226.87	3534.65	0.166114	8.1157	
1155	155	0	0	-1.#IND	10.3725	
1205	155	2447.06	3320.07	0.202799	12.077	
1255	155	1172.23	1272.91	0.266803	8.63838	
1305	155	2241.58	2934.99	0.21203	8.35138	
1355	155	1973.52	1529.03	0.396389	9.78712	
1405	155	0	0	-1.#IND	8.40764	
1455	155	0	0	-1.#IND	8.79233	
1505	155	0	0	-1.#IND	8.36012	
1555	155	0	0	-1.#IND	8.28942	
1605	155	0	0	-1.#IND	9.61834	
1655	155	0	0	-1.#IND	8.42132	
1705	155	0	0	-1.#IND	10.5861	
1755	155	0	0	-1.#IND	11.8945	
1805	155	0	0	-1.#IND	8.23772	
1855	155	0	0	-1.#IND	7.96023	
5	205	0	0	-1.#IND	9.34997	
55	205	0	0	-1.#IND	8.1845	
105	205	0	0	-1.#IND	8.65282	
155	205	0	0	-1.#IND	10.1178	
205	205	0	0	-1.#IND	10.084	
255	205	1520.45	3029.45	0.123269	8.71896	
305	205	1474.95	2991.63	0.120366	10.539	
355	205	1546.32	2923.35	0.13219	8.51027	
405	205	1616.82	3133.79	0.127888	9.34617	
455	205	1489.92	2775.29	0.134809	8.02751	
505	205	1515.17	2831.2	0.13425	9.70045	
555	205	1479.5	2743.4	0.13562	13.9377	
605	205	1460.66	2833.43	0.127748	12.5966	
655	205	1456.94	3059.58	0.114876	13.0357	
705	205	1514.99	2911.09	0.129369	11.5574	
755	205	1485.22	2883.49	0.127606	12.4982	
805	205	1757.59	3348.97	0.130821	10.8678	
855	205	1335.04	2279.67	0.15111	10.0163	
905	205	1540.72	2700.26	0.146059	8.5441	
955	205	1933.96	3287.49	0.152002	11.1898	
1005	205	3679.14	3985.49	0.267581	8.26091	
1055	205	3486.66	3714.37	0.27303	8.96338	
1105	205	2278.67	3275.28	0.188561	10.8264	
1155	205	2708.15	3251.53	0.236054	10.2938	
1205	205	2407.12	3104.92	0.216021	11.2479	
1255	205	1856.71	1405.64	0.406927	8.94096	
1305	205	0	0	-1.#IND	9.204	
1355	205	0	0	-1.#IND	9.42714	
1405	205	0	0	-1.#IND	12.1945	
1455	205	0	0	-1.#IND	8.10772	
1505	205	0	0	-1.#IND	12.7548	
1555	205	0	0	-1.#IND	14.9268	
1605	205	0	0	-1.#IND	8.20161	
1655	205	0	0	-1.#IND	8.44565	
1705	205	0	0	-1.#IND	9.76735	
1755	205	0	0	-1.#IND	8.48709	
1805	205	0	0	-1.#IND	9.96312	
1855	205	0	0	-1.#IND	8.50951	
5	255	0	0	-1.#IND	9.37506	
55	255	0	0	-1.#IND	8.44489	
105	255	0	0	-1.#IND	8.37875	
155	255	0	0	-1.#IND	8.37229	
205	255	0	0	-1.#IND	8.69273	
255	255	593.361	899.503	0.17621	8.8942	
305	255	1556.51	3373.1	0.1101	7.86178	
355	255	1528.11	2985.64	0.126533	9.20666	
405	255	1597.2	3140.65	0.12546	8.12254	
455	255	1639.79	2979.32	0.139312	8.64256	
505	255	1564.97	2850.73	0.138838	7.9359	
555	255	1402.69	2906.57	0.11696	9.00786	
605	255	1157.89	2065.13	0.142747	8.27878	
655	255	1555.92	3077.58	0.124476	8.11874	
705	255	1674.25	3362.97	0.121944	7.95909	
755	255	760.792	1235.46	0.161292	9.53623	
805	255	876.302	1545.21	0.144895	10.2345	
855	255	1606.52	3154.95	0.125672	8.01953	
905	255	2047.99	3032.54	0.181574	8.3605	
955	255	3996.45	4098.64	0.285777	7.7637	
1005	255	2376.48	3286.69	0.197971	7.69338	
1055	255	1845.93	2698.25	0.184581	8.90674	
1105	255	1477.68	1679.96	0.252351	8.06971	
1155	255	420.496	304.383	0.428029	10.2687	
1205	255	0	0	-1.#IND	8.70034	
1255	255	0	0	-1.#IND	7.91956	
1305	255	0	0	-1.#IND	8.12863	
1355	255	0	0	-1.#IND	8.81095	
1405	255	0	0	-1.#IND	11.0674	
1455	255	0	0	-1.#IND	8.04348	
1505	255	0	0	-1.#IND	9.51153	
