remote-sensing inversion	DierssenImage
6	6
Comments: 
02/13/17	18:33:52
ImageHeader	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
ImageData	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.dat
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
X	Y	RRS555	RRS670	Depth	T	
1105	155	2322	3439	0.181524	0.21173	
1155	155	0	0	-1.#IND	0.207169	
1205	155	2327	3105	0.207078	0.265708	
1255	155	0	0	-1.#IND	0.202227	
1305	155	2382	2988	0.223633	0.212491	
1355	155	1961	1523	0.395301	0.267989	
1405	155	0	0	-1.#IND	0.228456	
1455	155	0	0	-1.#IND	0.228456	
1505	155	0	0	-1.#IND	0.258866	
1555	155	0	0	-1.#IND	0.214771	
1605	155	0	0	-1.#IND	0.205648	
1655	155	0	0	-1.#IND	0.265328	
1705	155	0	0	-1.#IND	0.217052	
1755	155	0	0	-1.#IND	0.201467	
1805	155	0	0	-1.#IND	0.255065	
1855	155	0	0	-1.#IND	0.216292	
5	205	0	0	-1.#IND	0.236819	
55	205	0	0	-1.#IND	0.341354	
105	205	0	0	-1.#IND	0.204888	
155	205	0	0	-1.#IND	0.306002	
205	205	0	0	-1.#IND	0.265708	
255	205	1593	3013	0.132109	0.219333	
305	205	1488	3046	0.118889	0.214391	
355	205	1404	2609	0.135236	0.268749	
405	205	1555	2912	0.133862	0.212111	
455	205	1454	2700	0.135362	0.206789	
505	205	1513	2741	0.139844	0.27027	
555	205	1455	2724	0.133909	0.213251	
605	205	1263	2783	0.107643	0.20945	
655	205	1443	2983	0.117334	0.395712	
705	205	1444	2812	0.127091	0.212491	
755	205	1564	2787	0.142911	0.232257	
805	205	1814	3064	0.153267	0.260007	
855	205	966	1700	0.145273	0.227316	
905	205	1261	2019	0.164265	0.21097	
955	205	1946	3253	0.155351	0.268749	
1005	205	3586	3939	0.263119	0.214391	
1055	205	3409	3618	0.27427	0.207929	
1105	205	2342	3242	0.197741	0.26989	
1155	205	2421	2894	0.237334	0.208309	
1205	205	2445	3141	0.217115	0.21135	
1255	205	2180	1699	0.393735	0.268369	
1305	205	0	0	-1.#IND	0.207169	
1355	205	0	0	-1.#IND	0.226175	
1405	205	0	0	-1.#IND	0.256205	
1455	205	0	0	-1.#IND	0.205648	
1505	205	0	0	-1.#IND	0.208689	
1555	205	0	0	-1.#IND	0.262287	
1605	205	0	0	-1.#IND	0.217432	
1655	205	0	0	-1.#IND	0.201467	
1705	205	0	0	-1.#IND	0.261147	
1755	205	0	0	-1.#IND	0.203368	
1805	205	0	0	-1.#IND	0.205648	
1855	205	0	0	-1.#IND	0.261147	
5	255	0	0	-1.#IND	0.227696	
55	255	0	0	-1.#IND	0.200327	
105	255	0	0	-1.#IND	0.205648	
155	255	0	0	-1.#IND	0.252404	
205	255	0	0	-1.#IND	0.374425	
255	255	597	863	0.187207	0.207929	
305	255	1651	3424	0.116826	0.258866	
355	255	1474	2900	0.125367	0.260387	
405	255	1551	3056	0.12512	0.20907	
455	255	1629	2978	0.138186	0.264188	
505	255	1537	2675	0.147399	0.218193	
555	255	1348	2914	0.11047	0.207549	
605	255	1122	1955	0.147176	0.230357	
655	255	1392	3085	0.106803	0.207549	
705	255	1675	3571	0.112561	0.284335	
755	255	722	1200	0.156515	0.27141	
805	255	660	1025	0.170838	0.21135	
855	255	1574	3150	0.122545	0.214011	
905	255	2157	3143	0.185325	0.231117	
955	255	4634	4467	0.307635	0.208689	
1005	255	2313	3136	0.202975	0.21135	
1055	255	1906	2853	0.179085	0.215912	
1105	255	1388	1593	0.24946	0.224275	
1155	255	0	0	-1.#IND	0.20983	
1205	255	0	0	-1.#IND	0.263048	
1255	255	0	0	-1.#IND	0.217052	
1305	255	0	0	-1.#IND	0.205648	
1355	255	0	0	-1.#IND	0.264948	
1405	255	0	0	-1.#IND	0.217052	
1455	255	0	0	-1.#IND	0.208689	
1505	255	0	0	-1.#IND	0.374045	
1555	255	0	0	-1.#IND	0.333751	
1605	255	0	0	-1.#IND	0.332611	
1655	255	0	0	-1.#IND	0.260007	
1705	255	0	0	-1.#IND	0.218573	
1755	255	0	0	-1.#IND	0.214771	
1805	255	0	0	-1.#IND	0.261147	
1855	255	0	0	-1.#IND	0.206029	
5	305	0	0	-1.#IND	0.200707	
55	305	0	0	-1.#IND	0.264948	
105	305	0	0	-1.#IND	0.206029	
155	305	0	0	-1.#IND	0.232257	
205	305	1186	1411	0.238721	0.261907	
255	305	1970	3165	0.163542	0.21097	
305	305	951	1908	0.122134	0.206409	
355	305	569	870	0.174287	0.268749	
405	305	591	954	0.162546	0.214011	
455	305	1553	3210	0.117353	0.21097	
505	305	1574	3179	0.121052	0.312084	
555	305	1116	1969	0.144787	0.212491	
605	305	1633	2903	0.143361	0.207929	
655	305	940	1766	0.133291	0.26913	
705	305	2252	3321	0.182522	0.295738	
755	305	1179	2347	0.123418	0.265328	
805	305	2046	3222	0.167812	0.32957	
855	305	5007	4524	0.331978	0.214771	
905	305	2651	3721	0.194313	0.217052	
955	305	2525	3291	0.213243	0.229977	
1005	305	0	0	-1.#IND	0.223134	
1055	305	0	0	-1.#IND	0.201847	
1105	305	0	0	-1.#IND	0.257346	
1155	305	0	0	-1.#IND	0.231877	
1205	305	0	0	-1.#IND	0.225035	
1255	305	0	0	-1.#IND	0.258486	
1305	305	2289	1540	0.464429	0.220093	
1355	305	0	0	-1.#IND	0.201847	
1405	305	0	0	-1.#IND	0.256966	
1455	305	0	0	-1.#IND	0.223895	
1505	305	0	0	-1.#IND	0.227316	
1555	305	0	0	-1.#IND	0.255825	
1605	305	0	0	-1.#IND	0.207549	
1655	305	0	0	-1.#IND	0.201847	
1705	305	0	0	-1.#IND	0.262667	
1755	305	0	0	-1.#IND	0.213631	
1805	305	0	0	-1.#IND	0.205268	
1855	305	0	0	-1.#IND	0.261147	
5	355	0	0	-1.#IND	0.233018	
55	355	0	0	-1.#IND	0.200707	
105	355	0	0	-1.#IND	0.204888	
155	355	0	0	-1.#IND	0.260767	
205	355	1783	2970	0.156066	0.243281	
255	355	1135	1848	0.160744	0.206409	
305	355	1277	3208	0.0899357	0.234158	
355	355	0	0	-1.#IND	0.201087	
405	355	0	0	-1.#IND	0.207549	
455	355	0	0	-1.#IND	0.260387	
505	355	0	0	-1.#IND	0.233778	
555	355	0	0	-1.#IND	0.205648	
605	355	1821	3330	0.138131	0.267989	
655	355	1401	2234	0.165134	0.218953	
705	355	2229	3106	0.196104	0.21135	
755	355	4823	4553	0.315325	0.265708	
805	355	2594	3399	0.21183	0.214771	
855	355	2905	3584	0.228277	0.20945	
905	355	0	0	-1.#IND	0.259626	
955	355	0	0	-1.#IND	0.214391	
1005	355	0	0	-1.#IND	0.233778	
1055	355	0	0	-1.#IND	0.366822	
1105	355	0	0	-1.#IND	0.335272	
1155	355	0	0	-1.#IND	0.304481	
1205	355	0	0	-1.#IND	0.35922	
1255	355	0	0	-1.#IND	0.231497	
1305	355	0	0	-1.#IND	0.212871	
1355	355	0	0	-1.#IND	0.231497	
1405	355	0	0	-1.#IND	0.205648	
1455	355	0	0	-1.#IND	0.212111	
1505	355	0	0	-1.#IND	0.260767	
1555	355	0	0	-1.#IND	0.20983	
1605	355	0	0	-1.#IND	0.201847	
1655	355	2441	3517	0.187992	0.238339	
1705	355	3048	3558	0.244345	0.207549	
1755	355	2838	3810	0.205504	0.216292	
1805	355	2975	4068	0.200819	0.20907	
1855	355	1818	3156	0.147891	0.226555	
5	405	0	0	-1.#IND	0.200707	
55	405	0	0	-1.#IND	0.205648	
105	405	0	0	-1.#IND	0.201087	
155	405	0	0	-1.#IND	0.200327	
205	405	766	1219	0.165561	0.206409	
255	405	893	2285	0.0876699	0.206789	
305	405	714	1616	0.103792	0.207169	
355	405	0	0	-1.#IND	0.200707	
405	405	0	0	-1.#IND	0.199947	
455	405	0	0	-1.#IND	0.200327	
505	405	0	0	-1.#IND	0.201847	
555	405	0	0	-1.#IND	0.228456	
605	405	2085	3334	0.16454	0.229977	
655	405	4983	4658	0.318999	0.206789	
705	405	2280	2901	0.219725	0.206409	
755	405	2493	3327	0.207039	0.206409	
805	405	3469	3639	0.278141	0.206029	
855	405	1839	1232	0.466619	0.346675	
905	405	0	0	-1.#IND	0.205648	
955	405	0	0	-1.#IND	0.205648	
1005	405	0	0	-1.#IND	0.204888	
1055	405	0	0	-1.#IND	0.201087	
1105	405	0	0	-1.#IND	0.201467	
1155	405	0	0	-1.#IND	0.200707	
1205	405	0	0	-1.#IND	0.200707	
1255	405	1855	1120	0.522922	0.208309	
1305	405	0	0	-1.#IND	0.224655	
1355	405	0	0	-1.#IND	0.257726	
1405	405	0	0	-1.#IND	0.282814	
1455	405	0	0	-1.#IND	0.203368	
1505	405	0	0	-1.#IND	0.203748	
1555	405	0	0	-1.#IND	0.20983	
1605	405	2592	3562	0.199564	0.238719	
1655	405	2801	3747	0.20642	0.208689	
1705	405	2712	4296	0.166546	0.207169	
1755	405	3050	4210	0.198455	0.207169	
1805	405	1302	2556	0.125733	0.213631	
1855	405	1677	2957	0.144902	0.227316	
5	455	0	0	-1.#IND	0.229216	
55	455	0	0	-1.#IND	0.202227	
105	455	0	0	-1.#IND	0.226175	
155	455	1728	2802	0.161599	0.243661	
205	455	768	1631	0.113151	0.20983	
255	455	639	1634	0.0877494	0.207169	
305	455	1188	2170	0.138337	0.206409	
355	455	660	969	0.183552	0.212491	
405	455	1065	2456	0.101172	0.225035	
455	455	1249	2985	0.0963416	0.206409	
505	455	0	0	-1.#IND	0.201087	
555	455	0	0	-1.#IND	0.200327	
605	455	2090	2895	0.197583	0.206789	
655	455	2355	3547	0.177674	0.206409	
705	455	1880	2421	0.216465	0.205648	
755	455	1912	2440	0.218917	0.206789	
805	455	2102	1458	0.448955	0.253544	
855	455	0	0	-1.#IND	0.372144	
905	455	0	0	-1.#IND	0.235678	
955	455	0	0	-1.#IND	0.200327	
1005	455	0	0	-1.#IND	0.201467	
1055	455	0	0	-1.#IND	0.201087	
1105	455	0	0	-1.#IND	0.200707	
1155	455	0	0	-1.#IND	0.200707	
1205	455	1537	1433	0.319982	0.206409	
1255	455	2020	1574	0.393822	0.21173	
1305	455	0	0	-1.#IND	0.205648	
1355	455	0	0	-1.#IND	0.201087	
1405	455	0	0	-1.#IND	0.201087	
1455	455	0	0	-1.#IND	0.201087	
1505	455	2625	3344	0.219396	0.206409	
1555	455	2217	3110	0.194457	0.325008	
1605	455	3189	4413	0.197825	0.238719	
1655	455	1306	2364	0.139999	0.207549	
1705	455	1316	2315	0.14535	0.206789	
1755	455	1179	2404	0.119517	0.21097	
1805	455	1550	2002	0.215663	0.220473	
1855	455	1324	2531	0.130259	0.208309	
5	505	0	0	-1.#IND	0.199947	
55	505	1017	1689	0.156672	0.205648	
105	505	1748	3149	0.140881	0.21059	
155	505	1741	2849	0.1597	0.205268	
205	505	1258	2191	0.147261	0.205268	
255	505	1293	2260	0.146576	0.207169	
305	505	1334	2645	0.124076	0.208309	
355	505	1470	3018	0.118422	0.222754	
405	505	2322	3327	0.18932	0.366822	
455	505	0	0	-1.#IND	0.207929	
505	505	0	0	-1.#IND	0.201467	
555	505	2466	3469	0.193771	0.207169	
605	505	2417	3253	0.204856	0.207169	
655	505	2178	2789	0.217986	0.206789	
705	505	0	0	-1.#IND	0.201087	
755	505	0	0	-1.#IND	0.199566	
805	505	0	0	-1.#IND	0.199947	
855	505	0	0	-1.#IND	0.200707	
905	505	0	0	-1.#IND	0.199947	
955	505	0	0	-1.#IND	0.199947	
1005	505	2154	1592	0.418124	0.207169	
1055	505	2119	1620	0.402436	0.206029	
1105	505	2158	1610	0.413718	0.214771	
1155	505	0	0	-1.#IND	0.224275	
1205	505	0	0	-1.#IND	0.219713	
1255	505	0	0	-1.#IND	0.201087	
